Linux,SUNS
0.528,3.376
0.5,0.705
0.493,0.669
0.922,1.025
0.861,0.909
0.855,0.895
0.696,0.438
0.6,0.41
0.594,0.411
0.655,0.661
0.559,0.561
0.544,0.544
0.466,0.532
0.459,0.498
0.45,0.488
0.453,0.368
0.462,0.32
0.463,0.295
0.618,0.646
0.46,0.644
0.451,0.612
0.632,1.054
0.589,1.118
0.589,1.283
0.788,0.875
0.77,0.803
0.77,0.769
0.541,0.425
0.464,0.437
0.45,0.492
0.456,0.521
0.449,0.563
0.453,0.572
0.449,0.398
0.43,0.418
0.425,0.42
0.398,0.736
0.359,0.681
0.344,0.676
0.415,1.046
0.424,0.979
0.429,0.963
0.376,0.55
0.351,0.527
0.351,0.509
0.425,0.988
0.415,1.001
0.414,0.994
0.329,0.469
0.34,0.421
0.346,0.409
0.316,0.571
0.325,0.186
0.327,0.159
0.438,0.432
0.412,0.408
0.402,0.393
0.365,0.418
0.338,0.37
0.328,0.352